PartyId,total_cytd_outflow,total_cytd_inflow,has_large_withdrawal,prob_outflow_risk,direction_flag,action_priority_score
345662,309743.09,0.0,0,0.0744,Neutral,0.0744
18562518,309550.0,0.0,0,0.0829,Neutral,0.0829
707799,308644.89,0.0,1,0.9928,Outflow Risk,0.9928
18048927,308312.96,0.0,0,0.0686,Neutral,0.0691
2731921,308000.0,0.0,0,0.0538,Neutral,0.0539
6046410,307932.15,0.0,0,0.2187,Neutral,0.2187
3292353,307506.69,0.0,0,0.0908,Neutral,0.0909
454634,306541.67,0.0,0,0.1305,Neutral,0.131
131670,306000.0,0.0,0,0.044,Neutral,0.0441
3449939,306000.0,0.0,0,0.1117,Neutral,0.1118
3587927,306000.0,0.0,0,0.0756,Neutral,0.0757
3556502,306000.0,0.0,0,0.0967,Neutral,0.0972
286333,306000.0,0.0,0,0.1041,Neutral,0.1041
1989738,306000.0,0.0,0,0.1255,Neutral,0.1255
1850412,306000.0,0.0,0,0.0977,Neutral,0.1003
2759380,306000.0,0.0,0,0.0778,Neutral,0.0779
4618859,306000.0,0.0,0,0.0386,Neutral,0.0387
1851893,306000.0,0.0,0,0.0937,Neutral,0.0938
18803141,305808.73,0.0,0,0.1125,Neutral,0.1139
1349684,305600.0,0.0,0,0.3735,Neutral,0.3735
6049260,305400.0,0.0,0,0.0866,Neutral,0.0866
3018537,305104.15,0.0,1,0.992,Outflow Risk,0.992
3505540,305057.75,0.0,0,0.0798,Neutral,0.0799
904032,305039.64,0.0,0,0.0833,Neutral,0.0833
3053182,304541.2,0.0,0,0.1081,Neutral,0.1086
612366,303768.83,0.0,0,0.1432,Neutral,0.1432
829759,303678.34,0.0,0,0.1196,Neutral,0.1196
27184229,303000.0,0.0,0,0.098,Neutral,0.0988
806919,303000.0,0.0,0,0.1119,Neutral,0.1123
6069579,302848.28,0.0,0,0.0912,Neutral,0.0913
5419363,302041.14,0.0,0,0.033,Neutral,0.0331
6179165,301938.14,0.0,0,0.0877,Neutral,0.0882
5943028,301731.529999999,0.0,0,0.1397,Neutral,0.1401
6070674,301250.0,0.0,0,0.0872,Neutral,0.0878
1740417,300972.27,0.0,0,0.1067,Neutral,0.1072
23323029,300692.58,0.0,0,0.0688,Neutral,0.0689
