PartyId,direction_flag,prob_consolidation,prob_outflow_risk,prob_neutral,action_priority_score,total_external_balance,total_cytd_inflow,total_cytd_outflow,has_large_withdrawal,has_rollover,has_external_account,tenure_years,PartyAge
25280525,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,277052.05,0.0,0.0,0,0,1,2.58356164383561,51
12218893,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,779956.18,0.0,0.0,0,0,1,6.07945205479452,39
2588917,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,485954.74,12400.0,0.0,0,0,1,9.602739726,62
3612679,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,266653.38,30900.0,0.0,0,0,1,27.1561643835616,55
4701311,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,870478.58,0.0,0.0,0,0,1,6.9945205479452,47
3420310,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,3411184.26,0.0,0.0,0,0,1,9.58630136986301,38
4647521,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,539874.05,0.0,0.0,0,0,1,7.53424657534246,50
16792374,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,4367685.01,0.0,0.0,0,0,1,4.8931506849315,51
2128342,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,1789257.63,0.0,0.0,0,0,1,12.88493151,52
27271444,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,123112.54,40595.7299999999,20297.93,0,1,1,2.11232876712328,33
14769112,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,244179.88,0.0,0.0,0,0,1,5.25753424657534,41
449589,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,543158.01,0.0,0.0,0,0,1,21.22739726,54
10698998,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,62494.24,0.0,0.0,0,0,1,11.545205479452,37
4794386,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,188303.599999999,0.0,0.0,0,0,1,11.7342465753424,39
28699962,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,9647.66,15100.0,0.0,0,0,1,1.52876712328767,23
286440,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,1959485.58,0.0,0.0,0,0,1,18.35342466,57
216014,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,193567.55,0.0,0.0,0,0,1,15.97260274,40
11322155,Consolidation Opportunity,0.9988,0.0,0.0011,0.799,325547.58,0.0,0.0,0,0,1,6.54520547945205,37
25842282,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,72686.93,7000.0,6957.09,0,0,1,2.38356164383561,35
2178001,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,88764.31,0.0,0.0,0,0,1,24.44931507,55
32021601,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,872287.84,1359585.93,1753.1,0,0,1,0.876712328767123,57
2393528,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,247799.92,0.0,0.0,0,0,1,12.92054795,49
27451222,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,1066889.41,36000.0,28018.86,0,0,1,1.96986301369863,40
15220420,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,45925.34,0.0,0.0,0,0,1,5.1972602739726,27
1669449,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,903301.15,41251.28,24684.8,0,0,1,14.3260274,55
11655566,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,42379.4699999999,0.0,0.0,0,0,1,6.36164383561643,27
2829375,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,1504781.94,0.0,0.0,0,0,1,11.29041096,56
5909350,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,1219467.67,0.0,0.0,0,0,1,6.82465753424657,51
22764887,Consolidation Opportunity,0.9988,0.0,0.0012,0.799,33500.02,37562.36,17062.77,0,1,1,3.14520547945205,29
19542885,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,273131.73,0.0,0.0,0,0,1,3.84931506849315,55
365641,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,690374.56,14333.0,0.0,0,0,1,18.20273973,48
31294129,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,162422.68,3664214.92,7603.9,0,1,1,0.978082191780821,45
15983028,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,792368.59,0.0,0.0,0,0,1,5.02191780821917,43
131999,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,83177.16,0.0,0.0,0,0,1,24.12876712,50
865554,Consolidation Opportunity,0.9987,0.0,0.0013,0.799,44469.36,147545.17,36842.11,0,1,1,9.893150685,61
559315,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,43152.45,0.0,0.0,0,0,1,20.1369863,38
623209,Consolidation Opportunity,0.9974,0.001,0.0017,0.7989,14561478.43,41201.58,24602.69,0,0,1,32.20547945,61
26200001,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,1424401.74,0.0,0.0,0,0,1,2.31506849315068,62
4506162,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,1782877.68,0.0,0.0,0,0,1,7.71232876712328,53
291196,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,362421.8,0.0,5014.01,0,0,1,24.64657534,62
3304336,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,200212.11,37098.0,12148.83,0,0,1,12.2904109589041,32
3725470,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,109129.29,0.0,0.0,0,0,1,27.3890410958904,58
27888390,Consolidation Opportunity,0.9986,0.0,0.0014,0.7989,870794.09,0.0,16500.0,0,0,1,1.75068493150684,40
1886596,Consolidation Opportunity,0.9977,0.0007,0.0016,0.7989,3187267.75,150.0,0.0,0,0,1,29.47945205,62
12000158,Consolidation Opportunity,0.9985,0.0,0.0015,0.7988,144790.95,0.0,0.0,0,0,1,6.21369863013698,57
4704958,Consolidation Opportunity,0.9985,0.0,0.0015,0.7988,933039.51,25200.0,16600.0,0,0,1,7.47397260273972,59
22929301,Consolidation Opportunity,0.9985,0.0,0.0015,0.7988,76212.71,2851.51,0.0,0,0,1,3.06301369863013,41
27287307,Consolidation Opportunity,0.9984,0.0,0.0016,0.7987,19367.28,0.0,617.1,0,0,1,2.03287671232876,27
16135221,Consolidation Opportunity,0.9984,0.0,0.0016,0.7987,1097581.85,7000.0,7000.0,0,0,1,4.94794520547945,42
6070175,Consolidation Opportunity,0.9984,0.0,0.0016,0.7987,369141.14,0.0,41333.33,0,0,1,10.3013698630136,59
30951138,Consolidation Opportunity,0.9982,0.0,0.0018,0.7986,25358.64,22875.0,0.0,0,0,1,1.07945205479452,23
1044989,Consolidation Opportunity,0.9982,0.0,0.0018,0.7986,2049193.18,0.0,0.0,0,0,1,16.83287671,62
209551,Consolidation Opportunity,0.9982,0.0,0.0018,0.7986,1012998.06,0.0,0.0,0,0,1,28.32328767,53
28549526,Consolidation Opportunity,0.9983,0.0,0.0017,0.7986,348172.66,1200.0,0.0,0,0,1,1.53698630136986,63
28594842,Consolidation Opportunity,0.9983,0.0,0.0017,0.7986,780537.58,0.0,0.0,0,0,1,1.61095890410958,39
15470074,Consolidation Opportunity,0.9983,0.0,0.0017,0.7986,341490.63,0.0,0.0,0,0,1,5.13698630136986,64
5817377,Consolidation Opportunity,0.9983,0.0,0.0017,0.7986,568801.82,0.0,0.0,0,0,1,6.8904109589041,63
4678124,Consolidation Opportunity,0.9982,0.0,0.0018,0.7986,331811.68,0.0,0.0,0,0,1,7.4986301369863,53
29140981,Consolidation Opportunity,0.9983,0.0,0.0017,0.7986,91285.55,31350.0,0.0,0,0,1,1.43287671232876,31
27730822,Consolidation Opportunity,0.9981,0.0,0.0019,0.7985,451671.529999999,0.0,21000.0,0,0,1,1.80821917808219,50
29304125,Consolidation Opportunity,0.9981,0.0,0.0019,0.7985,13395.76,301560.899999999,0.0,0,0,1,1.41643835616438,28
4471470,Consolidation Opportunity,0.9981,0.0,0.0019,0.7985,8433360.56,0.0,0.0,0,0,1,7.47945205479452,61
18572421,Consolidation Opportunity,0.9981,0.0,0.0019,0.7985,2792412.12,0.0,0.0,0,0,1,4.2958904109589,42
6074080,Consolidation Opportunity,0.998,0.0,0.002,0.7984,1980986.35,0.0,0.0,0,0,1,14.9780821917808,63
16791434,Consolidation Opportunity,0.998,0.0,0.002,0.7984,1287563.38,0.0,0.0,0,0,1,4.35890410958904,60
