PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank
24630824,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,198
10868911,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,199
10869743,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,200
1960489,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,201
1960488,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,202
10857681,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,203
1960486,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,204
4471877,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,205
11016266,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,206
10844740,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,207
10849995,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,208
18582586,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,209
2075511,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,210
2075512,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,211
2075522,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,212
2312997,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,213
5681376,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,214
23207692,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,215
23207689,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,216
22918871,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,217
2075523,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,218
11020256,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,219
2202417,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,220
1163105,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,221
23180701,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,222
2136193,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,223
23046325,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,224
10842337,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,225
10964619,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,226
5793457,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,227
20236231,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,228
11440926,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,229
10922365,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,230
91898,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,231
